prefecture_id,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2026-3,2026-4,2026-5,2026-6,2026-7,2026-3,2026-4,2026-5,2026-6,2026-7,2026-8,2026-9,2026-10
1,21694.0,20181.0,20361.0,20427.0,21128.0,20533.0,20022.0,20908.0,22534.0,20222.0,19802.0,21405.0,21613.0,21686.0,21433.0,20578.0,20043.0,21740.0,22130.0,21049.0,21670.0
2,4052.0,3800.0,3789.0,3690.0,3822.0,3793.0,3680.0,3808.0,3635.0,3454.0,3581.0,3535.0,3728.0,3666.0,3162.9999999999995,3548.0000000000005,3535.0,3771.0,3892.0,3500.0,3695.0
3,3852.0,3539.0,3564.0,3718.0,3739.0,3613.0,3715.0,3885.0,3627.0,3409.0,3632.0,3470.0,3748.0,3833.0,3420.0,3418.0,3721.0,3341.0,4092.0000000000005,3814.0000000000005,4008.0000000000005
4,7594.0,7250.0,7311.0,7130.0,7151.0,6992.0,7301.0,8009.0,7591.0,7161.0,7314.0,7047.0,7239.0,7427.0,7585.0,7260.0,7295.0,6829.0,7948.0,7474.000000000001,7503.0
5,3143.0,3038.0,3139.0,3097.0,3013.0,2962.0,2937.0,3148.0,2946.0,2906.0,2921.0,2947.0,3070.0,2938.999999999999,2795.0,3004.9999999999995,2809.0000000000005,3095.999999999999,2989.0,2830.0,2921.0
6,3617.0,3351.0,3403.0,3477.0,3433.0,3495.0,3453.0,3299.0,3360.0,3243.0,3261.0,3283.0,3333.0,3470.9999999999995,3112.0000000000005,3153.0,3352.9999999999995,3220.0000000000005,3629.9999999999995,3579.9999999999995,3492.9999999999995
7,6170.0,6227.0,6297.0,6232.0,6144.0,6118.0,5910.0,6316.0,6014.0,5825.0,5992.0,6091.0,6421.0,5822.0,6062.0,5812.0,6037.0,6277.0,6427.0,6280.0,6162.0
8,9062.0,8428.0,8623.0,8840.0,8891.0,8969.0,8609.0,9626.0,8608.0,8226.0,8543.0,8220.0,8724.0,8314.0,8252.0,8490.0,8671.0,8210.0,8757.0,8427.0,8954.0
9,8287.0,7644.0,7873.0,7843.0,7831.0,8002.0,7789.0,8165.0,8080.0,7575.0,7825.0,7466.0,7952.0,7876.0,7626.0,7853.0,7684.0,7675.0,7962.0,7719.0,8432.0
10,7607.0,7322.0,7403.0,7402.0,7637.0,7377.0,7411.0,7665.0,7271.0,6848.0,7598.0,7060.0,7000.0,7643.0,7164.0,6961.0,7327.0,6972.0,7392.0,7123.0,7542.0
11,20485.0,20195.0,20265.0,19729.0,20103.0,20874.0,19541.0,20714.0,21297.0,19356.0,20471.0,19321.0,20685.0,19960.0,20863.0,19670.0,19385.0,19472.0,22039.0,20126.0,20680.0
12,20219.0,19568.0,19994.0,19912.0,20028.0,19905.0,19225.0,20551.0,20443.0,19352.0,19891.0,19896.0,20217.0,19635.0,20072.0,19897.0,18937.0,20698.0,20612.0,19819.0,20949.0
13,50525.0,48114.0,48998.0,48089.0,48380.0,49296.0,48288.0,47812.0,51705.0,47761.0,50111.0,46646.0,48406.0,48087.0,52720.0,47919.0,50236.0,46463.0,49920.0,45649.0,49278.0
14,28947.0,27259.0,28122.0,27652.0,28637.0,28131.0,27723.0,28213.0,29153.0,28411.0,30174.0,28061.0,28646.0,28377.0,28688.0,29531.0,28987.0,29001.0,30067.0,27688.0,28749.0
15,7351.0,7491.0,7500.0,7442.0,7328.0,7836.0,7108.0,7532.0,8125.0,7544.0,7524.0,7391.0,7635.0,8475.0,7557.0,7694.0,7673.0,7497.0,7894.0,7121.0,7365.0
16,3086.0,3008.0,2933.0,2981.0,3030.0,3007.0,3062.0,3363.0,3368.0,3260.0,3201.0,3056.0,3247.0,3223.0,3241.0,3267.0000000000005,3052.0,3192.0,3297.0,3254.0000000000005,3397.0
17,6842.0,6046.0,6195.0,6324.0,6425.0,6295.0,6186.0,6372.0,3720.0,3892.0,3859.0,3689.0,3862.0,6899.0,3435.000000000002,3997.9999999999995,3542.0000000000005,3962.0,4137.0,3593.0,3960.0000000000005
18,3455.0,3194.0,3231.0,3260.0,3375.0,3348.0,3402.0,3575.0,2226.0,2340.0,2361.0,2283.0,2363.0,3367.0,2009.9999999999984,2284.0000000000005,2244.0,2490.0,2391.0,2308.0,2334.0
19,3635.0,3658.0,3786.0,3592.0,3717.0,4118.0,3779.0,3942.0,3232.0,2963.0,3002.0,2948.0,2966.0,3874.0,3117.0,3218.0,2665.0,3109.0,3083.0,2867.0,2917.0
20,2389.0,2262.0,2240.0,2354.0,2245.0,2282.0,2306.0,2365.0,6636.0,5972.0,6323.0,6401.0,6517.0,2547.0,6536.999999999999,6072.0,6110.0,6558.0,6581.0,6497.0,6533.0
21,5714.0,5295.0,5418.0,5407.0,5495.0,5719.0,5617.0,5818.0,5402.0,5348.0,5557.0,5458.0,5691.0,5811.0,4941.0,5416.0,5485.0,5761.0,5752.0,5449.0,5516.0
22,10947.0,10738.0,10789.0,10689.0,10535.0,10562.0,10733.0,11108.0,11384.0,10757.0,11246.0,10627.0,10785.0,10985.0,11119.0,10800.0,11075.0,10772.0,11119.0,10510.0,11478.0
23,25571.0,23381.0,24323.0,24620.0,24084.0,24296.0,24137.0,24404.0,24002.0,23441.0,24461.0,22787.0,23550.0,24950.0,21866.0,24441.0,23884.0,23464.0,24354.0,22274.0,22863.0
24,5386.0,4980.0,5453.0,5403.0,5286.0,5371.0,5638.0,5394.0,5343.0,5213.0,5569.0,5233.0,5334.0,5336.0,5042.000000000001,5618.0,5448.0,5110.0,5661.0,5455.0,5613.0
25,4789.0,4432.0,4645.0,4456.0,4237.0,4252.0,4440.0,4457.0,4513.0,4271.0,4622.0,4436.0,4453.0,4721.999999999999,4305.0,4263.0,4557.0,4372.0,4457.0,4242.0,4325.0
26,9351.0,8916.0,8936.0,8812.0,8860.0,9044.0,8963.0,9311.0,9201.0,8545.0,9210.0,8870.0,8744.0,9844.0,8977.0,8432.0,8739.0,9219.0,8967.0,8474.0,8874.0
27,33512.0,31990.0,32018.0,31589.0,31587.0,32247.0,32201.0,33382.0,34331.0,31809.0,32745.0,32149.0,33748.0,34773.0,33641.0,31190.0,32647.0,34160.0,33526.0,31949.0,33372.0
28,18392.0,17532.0,17522.0,17380.0,17542.0,17290.0,17315.0,17957.0,18255.0,16856.0,17344.0,17544.0,17777.0,18531.0,17919.0,16445.0,17242.0,17653.0,17999.0,17406.0,18449.0
